"Alon_meri","Alst_line","Alte_hali","Alte_porr","Anth_eccr","Apod_ferr","Atri_rotu","Bacc_line","Bego_acut","Bego_spec","Bowl_palm","Brom_spec","Caes_spin","Cala_alba","Calc_pinn","Chen_peti","Chio_bent","Cicl_laci","Cist_ling","Cist_pani","Comm_fasc","Cras_conn","Crem_parv","Crot_alni","Cycl_math","Cycl_spec","Drym_cord","Erod_spec","Euph_viri","Exod_pros","Fuer_chil","Fuer_lime","Haag_paca","Hoff_pros","Ipom_purp","Ipom_spec","Jalt_loma","Lant_scab","Lyci_lyci","Ment_cord","Nasa_uren","Nico_pani","Nico_spec","Nola_humi","Ophr_peru","Oxal_corn","Oxal_mega","Oxal_spec","Pala_spec","Pari_debi","Pele_matu","Pepe_spec","Phil_peru","Pros_pall","Puya_ferr","Puya_spec","Quin_brev","Salv_spec","Sene_trux","Sicy_bade","Sola_mont","Sola_mult","Sola_peru","Sola_phyl","Sonc_olea","Tigr_gran","Till_purp","Trop_pelt","unkn_Malv"
0.032,0,0,0,8,0,1,0,0,0,0,0,0,0.25,0,0,0,0.1,0,0,0,0,0.5,0,0,0,0,0,0,0.063,0,0,0.5,0,0,7,0,0,0,0,2,3,0,3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.063,0,4,1.5,0,0,0,0.3,1,0,1,0
0,0,0,0,0,0,0.25,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0.5,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.013,0,0.063,0,0,0,0,0,0,0,0,0.047,0.032,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.032,0,0,0,0
0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.006,0,0,0,8,0,0,0,0,0.063,0.063,0,0,0,0,0.25,0,0,0.016,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1.5,0
0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0.031,0,0,0,0,0.5,0,0,0,2.5,0,0,0,0,0.094,1,0,0,0,0,0,0,0,0,0.25,0,2,0,0.25,0,0.031,0,2.5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0.125,0,0,0,0
0,0,0.75,0,0.5,0,0,0,0,0,0,0,0,3.5,0,0,0,0.1,0,0,0,0,0.5,0,0,0,0.1,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.031,0,0,1.5,0.5,0,0.75,0,0,0,0,0,0,0,6,0,0,0,0.63,0,0,0,0
0,0,0,0,2,0,1.5,0,0,0,0,0,0,0.5,0,0,0,0.1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.5,0.5,0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0
0,0,0,0,0.5,0,0,0,0,0,0,0,0,4,0,0,0,0.063,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.096,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.125,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1.5,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,4,0,0,0.5,0.2,0,0,0,0,20,2.5,0,0.5,0,0,0,0,0,1,0,0,0.1,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0
0,0,1,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.063,0.5,0,0,0,0,0,0,0,0,0.125,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0,0,0,0
0,0,0,0,0.125,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0.3,1,0,2,0,0,0,0,0,0.5,0,0,0.097,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0,0,2.5,0,0,0,0.3,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1.5,3.5,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0.3,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0.031,0,0,0,0
0,0,0,0.2,0.125,0,0,0,0,0,0,0,0,2,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0.063,0,0.125,0,0,0,0,0,0,0,0,0.125,1,0,0,0,0,0,0,0,0,0.125,0,0.5,0,0,0,0,2,0,0,1,2.5,0,0,0.063,0,0,0,0
0,0,0.53,0,4,0,0.5,0,0,0,0,0,0,0.063,0,0,0,1.5,0,0,10,0,2,0,0,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0.03,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0.094,0,0,0,0
0,0,0,0,20,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,2,0,0,0,0.75,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.075,3,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,1.5,6,0,0,0,0,0,0,0
0,0,0,0,0.3,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0.5,0,0.5,0,1,0,0,0,0,0,0,5,0.5,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,1.5,6,0,0,0,0,70,1,1,0,0,1,1,0,0,0
2,0,0,0,0,0,1,0,0,1.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,40,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0
0,0,0,0,0,0,0,0,0.25,6,6,0,0,0,4,0,0,0,0,0,0,0.013,0.25,0,0.25,0,0,0,0,0,0,2,1,0,0.013,20,1.5,0,0,0,0.25,0.125,1,0,0,0,0,0,0,0.25,0,0,0.5,0,6,0,1.5,0,1,0,6,0,0,0,0.5,0,2,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0.25,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0.25,0,1,0,0,0,0,0,1,15,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.5,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,1,60,0.5,0,0,0,1,0.5,0,0,0
0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,1.5,0.25,0,0,0,0,0,0,1.5,0.5,0,0,70,0,0,0,0,0.25,2.75,0,0,0,0.013,0,0,0,3,0,0,3,0,0,0,1.5,0,0,6,1,0,0.25,0,1.25,0,0,21.5,0
0.063,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,3.125,0,1,0,0,0,0,0,0,0,0,0.094,0,0,0,0,0,0,1.5,0.5,0,0,0,0.063,0,0,0,0
2.5,0,0,0,2,0,0,0,0,0,20,0,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,5,0,0,0,10,0,0,0,0,0.125,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,3,0,0.5,1,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,20,1.5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0
0.5,0,0,0,1,0,0.5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,1,0.5,0.1,4.5,0,0.5,1,0.25,0,17,80,2,0,0,0,0.25,0.5,0,8,5
0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,1,0,2,0,0.1,0.5,0.1,1.5,0,5,0.25,0,0,45,0,0,0,0,5,4.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,2,0,0,0,0.5,0,0,0,0
0,0,0,2,0.5,0,0,0,0,0,0,0,0,0.032,0,0,0,0.5,0,0,0,0,3,0,0.063,0,0.032,0,0,0.5,0,1,8,0,0.5,2,0,0,0,0,1,0.094,0,0,0,0,0,0,0,0.032,0.125,0,3,0,0,0,0.016,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,4,0,0,0,0,2,0,3,40,0,0.25,15,0,0.3,0,0,0,1.5,0,0,0,0,0,0,0,3,0.25,0,0.1,0,0,0,0.25,0,0,0,2,0,0,0,0.2,0.1,0,0,0
0,0,0,0,2,20,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,7,1.5,5,0,0.013,3,0,1,0,2,1,0,0,35,0,0,0,0,2.5,0,0,0.5,0,0,0,0,0,0.25,0.5,0,0.5,0,0,0,0.5,0,0,0,6,0,0,0,0.5,0,0,0,0
0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.188,0,0,0,0.5,0,0,0,0,5.5,0.5,0.5,0,0,0,0,2,0,3,25,0,0,18,0,0,0,0,3,1,0,0,0,0,0,0,0,0.1,0.22,0,0.1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,2,4,0,0,0,0,0,0,0,0,0.063,0,0,0,1,0,0,0,0,2,0,0,0,0.032,5,0,1,0,3,15,0,2,6,0,5,0,0,2,1.5,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0.063,0,0,0,0
0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.25,5,0,0,1,0,0.013,0,2,1.5,0,0.25,50,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.006,0,0.5,0,0,0,0,0,0,0,3,0,0,0,0.013,0,0,0,0
0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0.5,3,0.063,0,0.031,0,0,0.063,0,12,55,0,0,0.5,0,0,0,0,0.6,0.063,0,0,0,0,0,0,0,0.2,0.1,0,0.5,0,0,0,0,0,0,0,2,0,0,0,0.1,0,0,0,0
0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.013,0,0.5,0.4,0,0.5,12,0,0,0,0,1.5,0.25,0,0.5,0.5,0,0,0,0,0.063,0,0,0.5,0,0,0,0,0,0,0,2,0,0,0,0.31,0,0,0,0
0.016,0,0,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.75,0,0,0,0.063,0,0,0.25,0,1.5,4,0,0.1,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0,2,0,0,0,0.1,0,0,0,0
0,0,0,0.25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.006,1,0.5,0,1,0.006,0,0,0,0,0.009,0.006,0,0,0.25,0,0,0,0,0,0.006,0,0.013,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5,1,0.031,0,0,0,0,1,0,1.5,7,0,0,10,0,0,0,0,2,2.5,0,0,0,0,0.031,0,0,3.5,0.1,0,1,0,0,0,0.25,0,0,6,3,0,0,0,0.5,0,0,0,0
0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.013,0,1,4,0,0,0.2,0,0,0,4,0,0.25,0,0,0,0,0,0,0,1,0.025,0,0.009,0,0,0,0,0,0,0,1,0,0,0,0.006,0,0,0,0
0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.004,0.013,0,0.05,12,0,0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.25,0.006,0,0.002,0,0,0,0,0,0,0,0.25,0,0,0,0.013,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,1,0,0.5,1,0,0.063,3,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,1,0,0,0
0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.063,0,0.5,0.1,0,0,0.019,0,0,0,0,0.031,0.016,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,0,0,0,0,0,0.063,3,0.125,0.031,0.013,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.016,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.25,0,0.5,0
0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0.006,0,0,0.25,0,0.031,5,0,0.031,0.031,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.063,0.063,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0,0,0.013,0.75,0.125,0,0,0,0.5,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0.006,0,0,0.063,0,0.031,0,0,0,0.094,0,0,0,0,0,0.07,0,0,1,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0.25,0,0,0,0
0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0.031,0.75,0.013,0.5,6,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0.009,0.063,0,0.031,0,0,0,4,0,0,0,0,0,0.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0.015,0,0,0.031,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.3,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0.001,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.015,0.125,0,0.006,4,0,0.018,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.4,0.032,0,0.015,0,0,0,0,0,0,0,1,0,0,0,0.063,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,0.006,1,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0
0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0.019,0,0,0,1,0,0,0.031,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,3,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
